5,5,5,2
173,173,173,2
196,196,196,2
0,0,0,3
5,5,5,2
5,5,5,2
5,5,5,3
32,32,32,1
5,5,5,2
5,5,5,2
0,0,0,3
175,175,175,2
186,186,186,2
239,239,239,3
0,0,0,3
0,0,0,3
5,5,5,2
0,0,0,3
5,5,5,2
5,5,5,3
5,5,5,2
5,5,5,2
5,5,5,2
5,5,5,3
5,5,5,2
26,26,26,2
156,156,156,2
178,178,178,2
5,5,5,2
5,5,5,2
68,68,68,3
5,5,5,3
5,5,5,2
5,5,5,1
1,1,1,3
5,5,5,2
5,5,5,2
108,108,108,1
5,5,5,2
5,5,5,2
249,249,249,2
186,186,186,2
150,150,150,1
188,188,188,2
156,156,156,1
0,0,0,3
113,113,113,1
5,5,5,2
5,5,5,2
0,0,0,3
124,124,124,1
5,5,5,2
145,145,145,3
5,5,5,2
5,5,5,2
0,0,0,3
5,5,5,2
185,185,185,3
245,245,245,3
0,0,0,3
5,5,5,2
5,5,5,2
0,0,0,3
159,159,159,2
5,5,5,2
0,0,0,3
5,5,5,2
182,182,182,3
42,42,42,3
103,103,103,1
0,0,0,3
5,5,5,2
5,5,5,2
0,0,0,3
0,0,0,3
5,5,5,2
5,5,5,2
5,5,5,2
235,235,235,3
48,48,48,3
5,5,5,2
5,5,5,2
0,0,0,3
5,5,5,2
5,5,5,2
5,5,5,2
251,251,251,2
0,0,0,3
132,132,132,2
71,71,71,3
5,5,5,2
5,5,5,2
239,239,239,3
5,5,5,2
238,238,238,3
0,0,0,3
161,161,161,1
5,5,5,2
0,0,0,3
0,0,0,3
158,158,158,1
246,246,246,3
0,0,0,3
5,5,5,2
0,0,0,3
0,0,0,3
185,185,185,2
5,5,5,2
5,5,5,3
173,173,173,2
38,38,38,2
5,5,5,2
5,5,5,2
5,5,5,3
247,247,247,3
5,5,5,2
5,5,5,2
144,144,144,1
112,112,112,1
168,168,168,2
5,5,5,2
143,143,143,2
0,0,0,3
5,5,5,3
212,212,212,3
5,5,5,2
244,244,244,3
0,0,0,3
5,5,5,2
5,5,5,1
88,88,88,1
5,5,5,2
166,166,166,3
250,250,250,2
0,0,0,3
241,241,241,2
5,5,5,2
5,5,5,2
5,5,5,3
5,5,5,2
0,0,0,3
5,5,5,2
5,5,5,2
5,5,5,2
5,5,5,2
5,5,5,2
29,29,29,2
0,0,0,3
5,5,5,2
160,160,160,1
229,229,229,3
0,0,0,3
173,173,173,2
5,5,5,2
5,5,5,3
5,5,5,2
145,145,145,1
213,213,213,3
114,114,114,3
244,244,244,3
5,5,5,2
29,29,29,2
0,0,0,3
0,0,0,3
5,5,5,2
250,250,250,2
99,99,99,3
0,0,0,3
5,5,5,2
5,5,5,2
5,5,5,2
5,5,5,2
254,254,254,2
5,5,5,3
115,115,115,3
92,92,92,1
242,242,242,3
5,5,5,2
0,0,0,3
158,158,158,1
49,49,49,1
5,5,5,2
0,0,0,3
34,34,34,1
215,215,215,3
5,5,5,2
19,19,19,1
5,5,5,2
217,217,217,3
0,0,0,3
5,5,5,2
2,2,2,2
0,0,0,3
5,5,5,2
153,153,153,2
5,5,5,2
5,5,5,2
5,5,5,2
0,0,0,3
0,0,0,3
21,21,21,1
5,5,5,3
5,5,5,2
194,194,194,3
5,5,5,3
134,134,134,2
139,139,139,1
5,5,5,2
0,0,0,3
155,155,155,1
195,195,195,3
105,105,105,3
5,5,5,2
0,0,0,3
5,5,5,2
0,0,0,3
0,0,0,3
233,233,233,3
5,5,5,2
5,5,5,2
5,5,5,2
58,58,58,3
5,5,5,2
5,5,5,2
0,0,0,3
27,27,27,1
109,109,109,1
5,5,5,2
105,105,105,1
128,128,128,2
5,5,5,2
5,5,5,2
142,142,142,2
0,0,0,3
141,141,141,1
5,5,5,2
5,5,5,2
5,5,5,1
5,5,5,2
5,5,5,2
5,5,5,2
135,135,135,1
5,5,5,2
0,0,0,3
214,214,214,3
67,67,67,3
145,145,145,1
5,5,5,2
5,5,5,2
0,0,0,3
5,5,5,2
0,0,0,3
5,5,5,2
5,5,5,2
0,0,0,3
165,165,165,2
5,5,5,2
128,128,128,1
108,108,108,3
5,5,5,2
5,5,5,2
5,5,5,2
5,5,5,2
